iso,50,100,200,400,800,1600,3200,6400,12800,25600,43100
sensor_a,0.063755,0.128751,0.257138,0.524644,1.070307,2.455554,4.776264,7.99704,13.283409,24.667329,35.778507
sensor_b,0.00042,0.000515,0.000801,0.001724,0.004626,0.003532,0.012381,0.047715,0.180881,0.621669,1.399163
sensor_c,0.000023,0.000021,0.000042,0.000118,0.000364,0.00069,0.002416,0.009149,0.033741,0.10504,0.211586
black_lvl,64,64,64,64,64,64,64,64,64,64,64
tnr_a_lvl,1,1,1,1,1,1,1,1,1,1,1
tnr_b_lvl,1,1,1,1,1,1,1,1,1,1,1
tnr_diff_bias,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.03
tnr_diff_gain,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
tnr_lvl,0.7,0.7,0.7,0.7,1,1,1,1,1,1,1
tnr_mov_wgt,1,1,1,1,1,1,1,1,1,1,1
tnr_merge_frm,0,0,0,0,0,0,0,0,0,0,0
bnr_lvl,1,1,1,1,1,1,1,1,1,1,1
bnr_a_lvl,1,1,1,1,1,1,1,1,1,1,1
bnr_b_lvl,1,1,1,1,1,1,1,1,1,1,1
bnr_c_lvl,1,1,1,1,1,1,1,1,1,1,1
bnr_motion_bias,20,20,20,20,20,20,20,20,20,20,20
bnr_motion_gain,1,1,1,1,1,1,1,1,1,1,1
bnr_nr_ratio,1,1,1,0,0,0,0,0,0,0,0
gainmap_flag,0,0,0,0,0,0,0,0,0,0,0
debug_flag,1,0,0,0,0,0,0,0,0,0,0
debug_mode,0,0,0,0,0,0,0,0,0,0,0
debug_frm_num,1,0,0,0,0,0,0,0,0,0,0
offline_start,0,0,0,0,0,0,0,0,0,0,0
offline_end,199,0,0,0,0,0,0,0,0,0,0
